sample_ID	reads_ID	Source	Origin	Microorganism	country	clindamycin	erythromycin	linezolid	vancomycin	cefepime	cefotaxime	ceftazidime	ertapenem	imipenem	meropenem	tigecycline	colistin	sulfamethoxazole	trimethoprim
SRR2407653	SRR2407653_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407654	SRR2407654_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407655	SRR2407655_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407656	SRR2407656_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407657	SRR2407657_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407658	SRR2407658_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407659	SRR2407659_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407660	SRR2407660_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407662	SRR2407662_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407663	SRR2407663_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407664	SRR2407664_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407665	SRR2407665_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407666	SRR2407666_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407667	SRR2407667_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407668	SRR2407668_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407670	SRR2407670_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407671	SRR2407671_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407672	SRR2407672_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407673	SRR2407673_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407674	SRR2407674_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407675	SRR2407675_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407676	SRR2407676_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407677	SRR2407677_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407678	SRR2407678_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407679	SRR2407679_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407680	SRR2407680_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407681	SRR2407681_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407682	SRR2407682_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407683	SRR2407683_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407684	SRR2407684_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407685	SRR2407685_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407686	SRR2407686_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407687	SRR2407687_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407688	SRR2407688_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407689	SRR2407689_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407690	SRR2407690_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407691	SRR2407691_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407692	SRR2407692_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407693	SRR2407693_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407694	SRR2407694_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407695	SRR2407695_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407696	SRR2407696_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407697	SRR2407697_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407699	SRR2407699_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
SRR2407700	SRR2407700_1.trim.fq.gz	Animal	Surveillance	Salmonella spp.	USA														
