# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Denmark
	sample_ID	reads_ID	Source	Origin	Microorganism
135	M6369_S20	M6369_S20_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
136	M6370_S21	M6370_S21_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
137	M6371_S14	M6371_S14_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
138	M6372_S15	M6372_S15_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
139	M6373_S16	M6373_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
140	M6375_S18	M6375_S18_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
141	M6377_S20	M6377_S20_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
142	M6378_S21	M6378_S21_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
143	M6379_S22	M6379_S22_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
144	M6380_S23	M6380_S23_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
145	M6381_S24	M6381_S24_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
146	M6382_S12	M6382_S12_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
147	M6384_S7	M6384_S7_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
148	M6385_S8	M6385_S8_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
149	M6386_S16	M6386_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
150	M6387_S9	M6387_S9_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
151	M6390_S2	M6390_S2_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
152	M6394_S6	M6394_S6_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
153	M6396_S8	M6396_S8_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
154	M6397_S9	M6397_S9_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
155	M6398_S10	M6398_S10_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
156	M6399_S11	M6399_S11_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
157	M6400_S12	M6400_S12_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
158	M6401_S13	M6401_S13_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
159	M6402_S14	M6402_S14_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
160	M6403_S15	M6403_S15_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
161	M6404_S16	M6404_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
162	M6405_S17	M6405_S17_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
163	M6406_S18	M6406_S18_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
164	M6407_S19	M6407_S19_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
165	M6408_S20	M6408_S20_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
166	M6409_S21	M6409_S21_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
167	M6410_S22	M6410_S22_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
168	M6411_S15	M6411_S15_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
169	M6412_S3	M6412_S3_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
170	M6413_S16	M6413_S16_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
171	M6414_S17	M6414_S17_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
172	M6415_S6	M6415_S6_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
173	M6416_S7	M6416_S7_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
174	M6417_S18	M6417_S18_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
175	M6418_S9	M6418_S9_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
176	M6419_S10	M6419_S10_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
177	M6420_S11	M6420_S11_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
178	M6421_S19	M6421_S19_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
179	M6423_S14	M6423_S14_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
180	M6424_S15	M6424_S15_L001_R1_001.trim.fq.gz	Human	Clinical	S.aureus
