# Document with the sample ids, reads ids, source of the bacteria, program under the sample has been extracted, microorganism
## Data from Conneticut
## Confidential
,sample_ID,reads_ID,Source,Origin,Microorganism
227,SRR2407646,SRR2407646_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
228,SRR2407647,SRR2407647_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
229,SRR2407648,SRR2407648_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
230,SRR2407649,SRR2407649_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
231,SRR2407650,SRR2407650_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
232,SRR2407651,SRR2407651_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
233,SRR2407652,SRR2407652_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
234,SRR2407653,SRR2407653_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
235,SRR2407654,SRR2407654_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
236,SRR2407655,SRR2407655_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
237,SRR2407656,SRR2407656_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
238,SRR2407657,SRR2407657_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
239,SRR2407658,SRR2407658_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
240,SRR2407659,SRR2407659_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
241,SRR2407660,SRR2407660_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
242,SRR2407662,SRR2407662_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
243,SRR2407663,SRR2407663_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
244,SRR2407664,SRR2407664_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
245,SRR2407665,SRR2407665_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
246,SRR2407666,SRR2407666_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
247,SRR2407667,SRR2407667_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
248,SRR2407668,SRR2407668_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
249,SRR2407670,SRR2407670_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
250,SRR2407671,SRR2407671_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
251,SRR2407672,SRR2407672_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
252,SRR2407673,SRR2407673_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
253,SRR2407674,SRR2407674_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
254,SRR2407675,SRR2407675_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
255,SRR2407676,SRR2407676_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
256,SRR2407677,SRR2407677_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
257,SRR2407678,SRR2407678_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
258,SRR2407679,SRR2407679_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
259,SRR2407680,SRR2407680_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
260,SRR2407681,SRR2407681_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
261,SRR2407682,SRR2407682_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
262,SRR2407683,SRR2407683_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
263,SRR2407684,SRR2407684_1.trim.fq.gz,Animal,Surveillance,Salmonella spp.
